"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "YAML", "Ignore", "PostCSS", "XML", "HTML", "Markdown", "Svelte", "comment", "blank", "total"
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/acknowledgement-receipt/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/acknowledgement-receipt/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 12, 8, 348
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/adding-form/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/adding-form/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 2, 8, 356
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/admission/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-form-for-graduation/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-form-for-graduation/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 7, 8, 359
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-to-shift-course/+page.server.ts", "TypeScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 257
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/application-to-shift-course/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 473, 1, 22, 496
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/completion-form/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/completion-form/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 1, 8, 261
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/dropping-form/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/dropping-form/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 2, 8, 356
